Exec,Fold,Accuracy,Precision,Recall,F1
1,1,0.8786764705882353,0.8782680576462794,0.8786764705882353,0.8782470078895875
1,2,0.8998161764705882,0.9003923092872383,0.8998161764705882,0.8999090104203307
1,3,0.8924632352941176,0.8937003509736494,0.8924632352941176,0.8927860260969476
1,4,0.8759191176470589,0.8770493916258771,0.8759191176470589,0.8761399837158357
1,5,0.8804047838086476,0.8814474264177474,0.8804047838086476,0.8803678532381094
1,6,0.889604415823367,0.8914405713446346,0.889604415823367,0.8900162530193009
1,7,0.8886844526218951,0.8886744225905884,0.8886844526218951,0.888600505096681
1,8,0.9006439742410304,0.9015969567306011,0.9006439742410304,0.9006900831219551
1,9,0.8804047838086476,0.8808547454482316,0.8804047838086476,0.8802133872751718
1,10,0.8978840846366145,0.8980765440394137,0.8978840846366145,0.8979189569381218
2,1,0.8933823529411765,0.8933516979336645,0.8933823529411765,0.8933165609085459
2,2,0.8924632352941176,0.8929772771396425,0.8924632352941176,0.8921912006550469
2,3,0.8998161764705882,0.9007633019622574,0.8998161764705882,0.9000674841191842
2,4,0.8943014705882353,0.8941292361757204,0.8943014705882353,0.893796049685826
2,5,0.9080036798528058,0.9082236657337694,0.9080036798528058,0.9080110237682155
2,6,0.8997240110395585,0.9007318774281254,0.8997240110395585,0.8997732564434997
2,7,0.8840846366145354,0.8849268971456069,0.8840846366145354,0.8841098553438617
2,8,0.8886844526218951,0.8890414362551562,0.8886844526218951,0.8887612907343309
2,9,0.8739650413983441,0.8753575981173148,0.8739650413983441,0.8743912809268651
2,10,0.8859245630174793,0.8864122942880618,0.8859245630174793,0.885992936717925
3,1,0.8979779411764706,0.8985501371557281,0.8979779411764706,0.8980015536994952
3,2,0.8841911764705882,0.8850851410119726,0.8841911764705882,0.8844757917931321
3,3,0.8933823529411765,0.8945347540676613,0.8933823529411765,0.8935094780442441
3,4,0.9034926470588235,0.9047601270151848,0.9034926470588235,0.9036622396043178
3,5,0.889604415823367,0.8897430781727511,0.889604415823367,0.8895786335276049
3,6,0.8923643054277829,0.8924280009895983,0.8923643054277829,0.8922607610615326
3,7,0.8813247470101196,0.8814166357308354,0.8813247470101196,0.881157902065122
3,8,0.8840846366145354,0.8847515671804246,0.8840846366145354,0.8841581522931076
3,9,0.8960441582336707,0.8975763903805696,0.8960441582336707,0.8963358291987787
3,10,0.9153633854645814,0.9160530109459787,0.9153633854645814,0.9155135636887928
4,1,0.8897058823529411,0.8917427346230274,0.8897058823529411,0.8899696490686414
4,2,0.8786764705882353,0.8804992883738504,0.8786764705882353,0.8791132997162222
4,3,0.8988970588235294,0.8997211149250414,0.8988970588235294,0.8988011284167823
4,4,0.8786764705882353,0.879827502820775,0.8786764705882353,0.8789564062815893
4,5,0.8877644894204232,0.8903996660040937,0.8877644894204232,0.8883341706538412
4,6,0.9006439742410304,0.9016917515024161,0.9006439742410304,0.900955206239525
4,7,0.8932842686292548,0.8938587755528467,0.8932842686292548,0.893276071874246
4,8,0.8932842686292548,0.8942170641379473,0.8932842686292548,0.8931378232133038
4,9,0.891444342226311,0.8926624827012309,0.891444342226311,0.8913858329571652
4,10,0.890524379024839,0.890608288742465,0.890524379024839,0.8900617958036704
5,1,0.8952205882352942,0.895706022948462,0.8952205882352942,0.895100894387735
5,2,0.8998161764705882,0.901708579021483,0.8998161764705882,0.9003871533566121
5,3,0.8979779411764706,0.8994080382164652,0.8979779411764706,0.8980473248750984
5,4,0.9025735294117647,0.9031677620138236,0.9025735294117647,0.902721071113098
5,5,0.891444342226311,0.8925676769736296,0.891444342226311,0.8912420433266248
5,6,0.8822447102115916,0.8833209477588686,0.8822447102115916,0.8823773370673589
5,7,0.874885004599816,0.8771874208548791,0.874885004599816,0.8754692735324784
5,8,0.8693652253909844,0.8690882512511298,0.8693652253909844,0.8688908078593641
5,9,0.9153633854645814,0.9162779598792132,0.9153633854645814,0.9154968394591209
5,10,0.890524379024839,0.8915130727801595,0.890524379024839,0.8906117235350366
6,1,0.8998161764705882,0.8996056855731418,0.8998161764705882,0.8996205536399547
6,2,0.8979779411764706,0.8991376691880542,0.8979779411764706,0.8982965348899816
6,3,0.8841911764705882,0.8850414094649954,0.8841911764705882,0.8843034911788995
6,4,0.8970588235294118,0.8978623380037805,0.8970588235294118,0.8972846957174349
6,5,0.8859245630174793,0.8867253064419357,0.8859245630174793,0.886002879664705
6,6,0.8988040478380864,0.8993853134776744,0.8988040478380864,0.8986371906441233
6,7,0.8969641214351426,0.897605351681166,0.8969641214351426,0.8970886612917548
6,8,0.8767249310027599,0.8778616783967885,0.8767249310027599,0.8768626482863735
6,9,0.8785648574057038,0.8791165719158224,0.8785648574057038,0.8785880082366442
6,10,0.8960441582336707,0.8965426659291827,0.8960441582336707,0.8957296265513777
7,1,0.8933823529411765,0.8945454576367957,0.8933823529411765,0.8934804682617684
7,2,0.9007352941176471,0.9025546446006704,0.9007352941176471,0.9007140196539904
7,3,0.8979779411764706,0.898144031766837,0.8979779411764706,0.8978886830556132
7,4,0.9007352941176471,0.901076497279952,0.9007352941176471,0.9008678155825959
7,5,0.8932842686292548,0.8948488191170162,0.8932842686292548,0.8934754901474642
7,6,0.9015639374425023,0.9033705673448403,0.9015639374425023,0.902047595418221
7,7,0.8831646734130635,0.8843583876788993,0.8831646734130635,0.8834293659983984
7,8,0.890524379024839,0.890795549081126,0.890524379024839,0.8902568359229998
7,9,0.8840846366145354,0.8843235829167617,0.8840846366145354,0.8839200284467359
7,10,0.874885004599816,0.8754212913555405,0.874885004599816,0.875067290832396
8,1,0.8841911764705882,0.8839696807419208,0.8841911764705882,0.8839708594347888
8,2,0.9034926470588235,0.905609129277278,0.9034926470588235,0.9035027058172842
8,3,0.8897058823529411,0.8904605955396501,0.8897058823529411,0.8898405390809069
8,4,0.8998161764705882,0.9009987886787523,0.8998161764705882,0.9000185244304054
8,5,0.8840846366145354,0.8847321512311995,0.8840846366145354,0.8842559265363406
8,6,0.8942042318307267,0.8944483705923619,0.8942042318307267,0.8941788726201476
8,7,0.8877644894204232,0.8897680148524225,0.8877644894204232,0.8882611188000923
8,8,0.8831646734130635,0.8839696891481854,0.8831646734130635,0.8830486950615318
8,9,0.890524379024839,0.8909763903069647,0.890524379024839,0.8906999955258548
8,10,0.8923643054277829,0.8937201689917346,0.8923643054277829,0.8923680317244197
9,1,0.8924632352941176,0.8934765501718399,0.8924632352941176,0.8924275348241731
9,2,0.8860294117647058,0.8866233187416241,0.8860294117647058,0.8861738013580617
9,3,0.9090073529411765,0.9099852851828136,0.9090073529411765,0.9089748113014819
9,4,0.8897058823529411,0.8899775699300103,0.8897058823529411,0.8895598423535285
9,5,0.8804047838086476,0.8810311229272139,0.8804047838086476,0.8804971808777224
9,6,0.890524379024839,0.890818603381924,0.890524379024839,0.8904953656429375
9,7,0.8951241950321988,0.8958773150251234,0.8951241950321988,0.8951875074441267
9,8,0.8850045998160073,0.8862337872974828,0.8850045998160073,0.8853532188836737
9,9,0.8951241950321988,0.8962939512785632,0.8951241950321988,0.8952517082704569
9,10,0.891444342226311,0.8920213840713747,0.891444342226311,0.8914408604061171
10,1,0.8952205882352942,0.8959169119207877,0.8952205882352942,0.8952628282269387
10,2,0.8786764705882353,0.8800335850157597,0.8786764705882353,0.8787995181866348
10,3,0.8943014705882353,0.8952904296827198,0.8943014705882353,0.8943930192276763
10,4,0.8823529411764706,0.8837966426518804,0.8823529411764706,0.8825956172052154
