Exec,Fold,Accuracy,Precision,Recall,F1
1,1,0.9025735294117647,0.9033433299631951,0.9025735294117647,0.9026624099624904
1,2,0.9181985294117647,0.9185002761971671,0.9181985294117647,0.9181971245845532
1,3,0.9209558823529411,0.9211694235292565,0.9209558823529411,0.9209386845079379
1,4,0.9117647058823529,0.9122125313412078,0.9117647058823529,0.9118269712405122
1,5,0.920883164673413,0.9209726431137105,0.920883164673413,0.9205670593537311
1,6,0.9162833486660533,0.9165032103446364,0.9162833486660533,0.916018248923723
1,7,0.9070837166513339,0.9077612343960563,0.9070837166513339,0.9073415091727656
1,8,0.9245630174793008,0.9253659668887855,0.9245630174793008,0.9247697205374301
1,9,0.906163753449862,0.9065313394375552,0.906163753449862,0.906189436007975
1,10,0.9080036798528058,0.9097360221572907,0.9080036798528058,0.9084871431764292
2,1,0.9071691176470589,0.9078391214771088,0.9071691176470589,0.9073465715278017
2,2,0.921875,0.9220205365160759,0.921875,0.9218171216602109
2,3,0.9080882352941176,0.9106428785115279,0.9080882352941176,0.9078198501165251
2,4,0.9191176470588235,0.9195302613067682,0.9191176470588235,0.9188922636774215
2,5,0.9172033118675254,0.9173836709460746,0.9172033118675254,0.9171095933167889
2,6,0.9236430542778289,0.9238501100964522,0.9236430542778289,0.9236013343071727
2,7,0.8932842686292548,0.8932480526461518,0.8932842686292548,0.8930207994215988
2,8,0.9098436062557498,0.9106629502731193,0.9098436062557498,0.9100283067184312
2,9,0.9172033118675254,0.9178146610568421,0.9172033118675254,0.9173748015409894
2,10,0.9162833486660533,0.9179225151773533,0.9162833486660533,0.9165127508006883
3,1,0.9227941176470589,0.9232616017248015,0.9227941176470589,0.9229215341251065
3,2,0.9292279411764706,0.9300443359153251,0.9292279411764706,0.92936231582693
3,3,0.9034926470588235,0.9038452194621651,0.9034926470588235,0.903535865537406
3,4,0.9145220588235294,0.9163541646135044,0.9145220588235294,0.9150331269155426
3,5,0.9116835326586936,0.9120042355141912,0.9116835326586936,0.9115338156668932
3,6,0.9070837166513339,0.9070583866372777,0.9070837166513339,0.9070203621381236
3,7,0.9126034958601656,0.9129405529042661,0.9126034958601656,0.9125363117474306
3,8,0.9070837166513339,0.9074249106900597,0.9070837166513339,0.9068434970436711
3,9,0.9098436062557498,0.9102578127909078,0.9098436062557498,0.9100105131140938
3,10,0.9181232750689973,0.9183877248885064,0.9181232750689973,0.9181743644165603
4,1,0.9264705882352942,0.9266693401809605,0.9264705882352942,0.9263936660211336
4,2,0.9154411764705882,0.9164145451373558,0.9154411764705882,0.9156281275868698
4,3,0.90625,0.9070056864151292,0.90625,0.9063913756612978
4,4,0.9099264705882353,0.9105031164514683,0.9099264705882353,0.9098398579249559
4,5,0.9273229070837167,0.9276065549490299,0.9273229070837167,0.9272881052485688
4,6,0.9199632014719411,0.9199005357870293,0.9199632014719411,0.9196556830856316
4,7,0.9070837166513339,0.9080920032807375,0.9070837166513339,0.9072633510074303
4,8,0.9172033118675254,0.9175610582386658,0.9172033118675254,0.9172599868774971
4,9,0.9116835326586936,0.9118997884717844,0.9116835326586936,0.9115964996549311
4,10,0.889604415823367,0.8905270823785332,0.889604415823367,0.8898105105746211
5,1,0.9227941176470589,0.9236437730440588,0.9227941176470589,0.9228655772893826
5,2,0.9126838235294118,0.9137757361926825,0.9126838235294118,0.9127077228653236
5,3,0.9154411764705882,0.9156981376812938,0.9154411764705882,0.9155111312203401
5,4,0.9080882352941176,0.9083923545875203,0.9080882352941176,0.9081405556117979
5,5,0.9190432382704692,0.9194019884356045,0.9190432382704692,0.9191537031798304
5,6,0.9070837166513339,0.9079268977442212,0.9070837166513339,0.9069268914774993
5,7,0.9116835326586936,0.911484227800225,0.9116835326586936,0.9115192372173183
5,8,0.9181232750689973,0.9181354042664119,0.9181232750689973,0.9178776618156398
5,9,0.8988040478380864,0.8997455473502125,0.8988040478380864,0.8990664609162593
5,10,0.921803127874885,0.9221206319172073,0.921803127874885,0.9217306555242764
6,1,0.9117647058823529,0.9117837943740021,0.9117647058823529,0.911358871744891
6,2,0.9200367647058824,0.9211254497085483,0.9200367647058824,0.9202212467935065
6,3,0.9172794117647058,0.9174007118980698,0.9172794117647058,0.9172674372747671
6,4,0.8998161764705882,0.9000673313485512,0.8998161764705882,0.8995704501790075
6,5,0.9089236430542779,0.9091399105400898,0.9089236430542779,0.9088919986108094
6,6,0.9199632014719411,0.9209587289522044,0.9199632014719411,0.9202185498914779
6,7,0.9172033118675254,0.9182244903946715,0.9172033118675254,0.9173113917258856
6,8,0.9153633854645814,0.9154016427021912,0.9153633854645814,0.9151571157738241
6,9,0.9052437902483901,0.9056217717877598,0.9052437902483901,0.9053474334038343
6,10,0.9098436062557498,0.9101910665396825,0.9098436062557498,0.9099283648718518
7,1,0.9181985294117647,0.9182154185757687,0.9181985294117647,0.9181275703686441
7,2,0.9264705882352942,0.9267793737695196,0.9264705882352942,0.9264818866381657
7,3,0.9080882352941176,0.9082430703105407,0.9080882352941176,0.9080747054268494
7,4,0.9136029411764706,0.913933137927193,0.9136029411764706,0.913436528555627
7,5,0.906163753449862,0.9077784823564218,0.906163753449862,0.9064934826950729
7,6,0.9098436062557498,0.9106381110839389,0.9098436062557498,0.9097326349865237
7,7,0.9116835326586936,0.9118301723997728,0.9116835326586936,0.911636266661091
7,8,0.9024839006439742,0.9048559679255247,0.9024839006439742,0.9028886073952526
7,9,0.9199632014719411,0.9201306735011893,0.9199632014719411,0.919920866830486
7,10,0.9126034958601656,0.9128796092069751,0.9126034958601656,0.9126073389755475
8,1,0.9136029411764706,0.9142384112894859,0.9136029411764706,0.9137896730294279
8,2,0.9090073529411765,0.9095828175932293,0.9090073529411765,0.9088828783595896
8,3,0.9145220588235294,0.9149145811821401,0.9145220588235294,0.9145203339415156
8,4,0.9117647058823529,0.9131280482475017,0.9117647058823529,0.9121388944068481
8,5,0.920883164673413,0.9211151214444313,0.920883164673413,0.9208059736270993
8,6,0.9172033118675254,0.9178289604122124,0.9172033118675254,0.9173217062689187
8,7,0.9080036798528058,0.9079075656540788,0.9080036798528058,0.9075781629801741
8,8,0.9098436062557498,0.9103555852238766,0.9098436062557498,0.9100127073508087
8,9,0.9153633854645814,0.91549721587159,0.9153633854645814,0.9149613634341462
8,10,0.9070837166513339,0.9079323944488831,0.9070837166513339,0.9072692897194902
9,1,0.9145220588235294,0.9143818133100606,0.9145220588235294,0.9143406101763579
9,2,0.9016544117647058,0.9026396481002751,0.9016544117647058,0.901685928116958
9,3,0.9191176470588235,0.9195393744973396,0.9191176470588235,0.9192389629342265
9,4,0.9117647058823529,0.9140317098112141,0.9117647058823529,0.9119736912814819
9,5,0.920883164673413,0.9211067162379678,0.920883164673413,0.9206840446877881
9,6,0.9126034958601656,0.9135164151680942,0.9126034958601656,0.9128762612690817
9,7,0.9098436062557498,0.9096866176748232,0.9098436062557498,0.9094583095109267
9,8,0.9126034958601656,0.9126695236897119,0.9126034958601656,0.9126255508707798
9,9,0.9172033118675254,0.9176778579506992,0.9172033118675254,0.9173493049906446
9,10,0.9098436062557498,0.9103738204768508,0.9098436062557498,0.9096983879803451
10,1,0.9080882352941176,0.9091418263370886,0.9080882352941176,0.9083767235801269
10,2,0.90625,0.9070680645929305,0.90625,0.9064531575397824
10,3,0.9145220588235294,0.9150891444363193,0.9145220588235294,0.9143415814767574
10,4,0.9007352941176471,0.9015103914408087,0.9007352941176471,0.9009232225074164
10,5,0.9052437902483901,0.9055653982764413,0.9052437902483901,0.905365011834929
10,6,0.9116835326586936,0.9121031466307946,0.9116835326586936,0.9117831719453039
10,7,0.921803127874885,0.9215988028676546,0.921803127874885,0.9216521349562641
10,8,0.9107635694572217,0.9110302771860832,0.9107635694572217,0.9108482741543638
10,9,0.9282428702851886,0.9286993806911793,0.9282428702851886,0.9280510111323029
10,10,0.9199632014719411,0.9203462444667632,0.9199632014719411,0.920039944445053
11,1,0.9126838235294118,0.9140483714053853,0.9126838235294118,0.9128457838129815
11,2,0.9034926470588235,0.9048114717814887,0.9034926470588235,0.9038721117666267
11,3,0.9071691176470589,0.9070861664208749,0.9071691176470589,0.9068865643054406
11,4,0.9071691176470589,0.9077627368513231,0.9071691176470589,0.9073170009779782
11,5,0.9282428702851886,0.9283688712290696,0.9282428702851886,0.9282543978968848
11,6,0.9153633854645814,0.9162682256595227,0.9153633854645814,0.9155403685556791
11,7,0.9273229070837167,0.9281715949208321,0.9273229070837167,0.9275840726220331
11,8,0.9126034958601656,0.912881668477792,0.9126034958601656,0.9125517923809757
11,9,0.9107635694572217,0.9123748507451368,0.9107635694572217,0.9108572865704326
11,10,0.9024839006439742,0.9023171066777506,0.9024839006439742,0.902195418789736
12,1,0.9108455882352942,0.9117235227324083,0.9108455882352942,0.91078176351996
12,2,0.9145220588235294,0.9153448713322625,0.9145220588235294,0.9147784588947292
12,3,0.9080882352941176,0.9086017517821583,0.9080882352941176,0.9081788187312916
12,4,0.9181985294117647,0.9194495089781473,0.9181985294117647,0.9182989846617056
12,5,0.9089236430542779,0.9092038209297705,0.9089236430542779,0.908836189459817
12,6,0.9098436062557498,0.9104554560617373,0.9098436062557498,0.9097152943656448
12,7,0.9172033118675254,0.9174062048287611,0.9172033118675254,0.9172351269406467
12,8,0.9236430542778289,0.9235241791735659,0.9236430542778289,0.9234605890964601
12,9,0.9052437902483901,0.9050581582634075,0.9052437902483901,0.9050891673678164
12,10,0.9107635694572217,0.9118363508368319,0.9107635694572217,0.911029927568818
13,1,0.9273897058823529,0.9282036873044184,0.9273897058823529,0.9276322016633702
13,2,0.9071691176470589,0.9084462309950267,0.9071691176470589,0.9072336713256821
13,3,0.8998161764705882,0.9009451361742843,0.8998161764705882,0.9002238551189385
13,4,0.9172794117647058,0.9171817704565853,0.9172794117647058,0.916862340397984
13,5,0.9126034958601656,0.9129091532014459,0.9126034958601656,0.9125391266390306
13,6,0.920883164673413,0.9208582671738837,0.920883164673413,0.920768737147694
13,7,0.8951241950321988,0.8957904644236488,0.8951241950321988,0.8950854714757006
13,8,0.9098436062557498,0.9104928262283918,0.9098436062557498,0.909938056356344
13,9,0.9181232750689973,0.919028929440299,0.9181232750689973,0.9182476797314236
13,10,0.922723091076357,0.9231680041884917,0.922723091076357,0.9228155044486283
14,1,0.9053308823529411,0.906013862959008,0.9053308823529411,0.9054968539916243
14,2,0.9090073529411765,0.9093367857464821,0.9090073529411765,0.9091020046713636
14,3,0.9117647058823529,0.9122193508415075,0.9117647058823529,0.9118878523798939
14,4,0.9126838235294118,0.9134491721868744,0.9126838235294118,0.9128017846200791
14,5,0.9190432382704692,0.9196001006623712,0.9190432382704692,0.918975928974539
14,6,0.9135234590616376,0.9137990412668037,0.9135234590616376,0.9134854876784401
14,7,0.9080036798528058,0.9080249349623377,0.9080036798528058,0.90763275011647
14,8,0.920883164673413,0.9215531632179056,0.920883164673413,0.9209866722104815
14,9,0.922723091076357,0.9236936861929532,0.922723091076357,0.9226505670031858
14,10,0.9034038638454461,0.9047176271835055,0.9034038638454461,0.9036199757344522
15,1,0.9090073529411765,0.9091164920337345,0.9090073529411765,0.9089587598863539
15,2,0.9007352941176471,0.9024874759664956,0.9007352941176471,0.9011702225508788
15,3,0.9145220588235294,0.9148386651569662,0.9145220588235294,0.9146062750214329
15,4,0.90625,0.9072976368630753,0.90625,0.9063378656062282
15,5,0.9236430542778289,0.9241697127524652,0.9236430542778289,0.9237400998950147
15,6,0.9034038638454461,0.904048775573208,0.9034038638454461,0.9036126242306335
15,7,0.9282428702851886,0.9281484556426811,0.9282428702851886,0.9279083665834595
15,8,0.9181232750689973,0.9192456850960776,0.9181232750689973,0.9183964002184495
15,9,0.9107635694572217,0.912114835088977,0.9107635694572217,0.9111782543929493
15,10,0.9089236430542779,0.9091899158598546,0.9089236430542779,0.9085191933177126
16,1,0.9090073529411765,0.9095645586008615,0.9090073529411765,0.9091304007528276
16,2,0.9099264705882353,0.9101736371015177,0.9099264705882353,0.909852651310942
16,3,0.9200367647058824,0.9205087490444057,0.9200367647058824,0.9201932953218723
16,4,0.8943014705882353,0.8958119995520885,0.8943014705882353,0.8945668128265496
16,5,0.9116835326586936,0.9124686895746518,0.9116835326586936,0.9118857799885076
16,6,0.921803127874885,0.9221941353812972,0.921803127874885,0.9218347660056179
16,7,0.9245630174793008,0.9246816923895209,0.9245630174793008,0.924293164265437
16,8,0.9126034958601656,0.9122978298070736,0.9126034958601656,0.9121349818526069
16,9,0.9181232750689973,0.919305759349475,0.9181232750689973,0.9183740846258253
16,10,0.906163753449862,0.9070516235495542,0.906163753449862,0.9062081891836196
17,1,0.9154411764705882,0.9150958870038346,0.9154411764705882,0.9150557535689743
17,2,0.9080882352941176,0.9088306595154991,0.9080882352941176,0.908201176010831
17,3,0.9181985294117647,0.9180797953962444,0.9181985294117647,0.9180284907255388
17,4,0.9191176470588235,0.92131565407276,0.9191176470588235,0.9194917049947334
17,5,0.8932842686292548,0.8930332470592409,0.8932842686292548,0.8928999844921788
17,6,0.9024839006439742,0.9032536606766818,0.9024839006439742,0.9025301617542344
17,7,0.9181232750689973,0.9184375832068213,0.9181232750689973,0.9179566149867163
17,8,0.9126034958601656,0.9131344066030093,0.9126034958601656,0.9127518568170333
17,9,0.9181232750689973,0.9187600395424896,0.9181232750689973,0.918228654083824
17,10,0.9181232750689973,0.9183015400132515,0.9181232750689973,0.9179189197461701
18,1,0.9255514705882353,0.9256732589604901,0.9255514705882353,0.9254567134728225
18,2,0.9145220588235294,0.9143596050003672,0.9145220588235294,0.9143628320320835
18,3,0.9117647058823529,0.9126997478022517,0.9117647058823529,0.9120022877301307
18,4,0.9034926470588235,0.9037206793313173,0.9034926470588235,0.9033279852611119
18,5,0.9126034958601656,0.913242352693008,0.9126034958601656,0.9127069935290766
18,6,0.9126034958601656,0.9129133826509505,0.9126034958601656,0.9124974122216978
18,7,0.9024839006439742,0.9026305991713184,0.9024839006439742,0.902460522949529
18,8,0.9135234590616376,0.9138269505826948,0.9135234590616376,0.9134959545614326
18,9,0.9181232750689973,0.9185921176015703,0.9181232750689973,0.9182655295525058
18,10,0.9144434222631095,0.9147659278858016,0.9144434222631095,0.9144930821861198
19,1,0.9172794117647058,0.9173739736385513,0.9172794117647058,0.9171826812728804
19,2,0.9393382352941176,0.939343153679204,0.9393382352941176,0.939144242618855
19,3,0.9108455882352942,0.9120750039110336,0.9108455882352942,0.9109930618316947
19,4,0.8952205882352942,0.8954667035704127,0.8952205882352942,0.8951436791427043
19,5,0.906163753449862,0.9067116995790048,0.906163753449862,0.9062558549669807
19,6,0.9089236430542779,0.9090709549465229,0.9089236430542779,0.9088037571273855
19,7,0.9107635694572217,0.9115100211591896,0.9107635694572217,0.9107080942543746
